,inning,batting_team,bowling_team,batsman,bowler,batsman_name,non_striker,bowler_name,bat_right_handed,ovr,runs_batter,runs_w_extras,extras,x,y,z,landing_x,landing_y,ended_x,ended_y,ball_speed,cumul_runs,wicket,wicket_method,who_out,control,extras_type
0,1,South Africa,Zimbabwe,379143,55705,Quinton de Kock,Hashim Amla,Tinashe Panyangara,n,0.1,0.0,0.0,0.0,242.0,198.0,3.0,0.25,5.68,0.63,0.67,83.231,0.0,False,,,1,
1,1,South Africa,Zimbabwe,379143,55705,Quinton de Kock,Hashim Amla,Tinashe Panyangara,n,0.2,0.0,0.0,0.0,202.0,236.0,4.0,,,,,,0.0,False,,,1,
2,1,South Africa,Zimbabwe,379143,55705,Quinton de Kock,Hashim Amla,Tinashe Panyangara,n,0.3,0.0,0.0,0.0,0.0,0.0,0.0,-0.03,7.06,0.19,0.79,80.147,0.0,False,,,1,
3,1,South Africa,Zimbabwe,379143,55705,Quinton de Kock,Hashim Amla,Tinashe Panyangara,n,0.4,0.0,0.0,0.0,246.0,199.0,3.0,0.30,6.63,0.82,0.76,81.615,0.0,False,,,1,
4,1,South Africa,Zimbabwe,379143,55705,Quinton de Kock,Hashim Amla,Tinashe Panyangara,n,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.11,7.53,0.71,0.87,81.277,0.0,False,,,1,
5,1,South Africa,Zimbabwe,379143,55705,Quinton de Kock,Hashim Amla,Tinashe Panyangara,n,0.6,0.0,0.0,0.0,157.0,179.0,6.0,-0.20,7.81,0.13,0.92,83.628,0.0,False,,,1,
6,1,South Africa,Zimbabwe,43906,425639,Hashim Amla,Quinton de Kock,Tendai Chatara,y,1.1,0.0,0.0,0.0,229.0,198.0,3.0,-0.24,7.44,0.58,0.98,82.053,0.0,False,,,1,
7,1,South Africa,Zimbabwe,43906,425639,Hashim Amla,Quinton de Kock,Tendai Chatara,y,1.2,0.0,0.0,0.0,115.0,164.0,7.0,-0.30,4.59,-0.37,0.66,83.444,0.0,False,,,1,
8,1,South Africa,Zimbabwe,43906,425639,Hashim Amla,Quinton de Kock,Tendai Chatara,y,1.3,2.0,2.0,0.0,47.0,268.0,6.0,-0.43,4.23,-0.10,0.72,84.119,2.0,False,,,1,
9,1,South Africa,Zimbabwe,43906,425639,Hashim Amla,Quinton de Kock,Tendai Chatara,y,1.4,0.0,0.0,0.0,186.0,235.0,4.0,-0.14,5.31,0.00,0.71,84.845,2.0,False,,,1,
10,1,South Africa,Zimbabwe,43906,425639,Hashim Amla,Quinton de Kock,Tendai Chatara,y,1.5,0.0,0.0,0.0,130.0,198.0,6.0,-0.38,6.88,-0.21,0.88,84.793,2.0,False,,,1,
11,1,South Africa,Zimbabwe,43906,425639,Hashim Amla,Quinton de Kock,Tendai Chatara,y,1.6,0.0,1.0,1.0,0.0,0.0,0.0,0.15,5.44,0.51,0.67,84.894,3.0,False,,,0,Wd
12,1,South Africa,Zimbabwe,43906,425639,Hashim Amla,Quinton de Kock,Tendai Chatara,y,1.6,0.0,0.0,0.0,113.0,154.0,7.0,-0.48,6.73,-0.36,0.79,85.955,3.0,False,,,1,
13,1,South Africa,Zimbabwe,379143,55705,Quinton de Kock,Hashim Amla,Tinashe Panyangara,n,2.1,0.0,0.0,0.0,221.0,231.0,4.0,-0.00,7.26,0.42,0.80,80.642,3.0,False,,,1,
14,1,South Africa,Zimbabwe,379143,55705,Quinton de Kock,Hashim Amla,Tinashe Panyangara,n,2.2,4.0,4.0,0.0,351.0,227.0,3.0,0.28,4.86,0.73,0.52,82.312,7.0,False,,,1,
15,1,South Africa,Zimbabwe,379143,55705,Quinton de Kock,Hashim Amla,Tinashe Panyangara,n,2.3,0.0,0.0,0.0,247.0,191.0,3.0,-0.02,7.88,0.46,0.96,82.063,7.0,False,,,0,
16,1,South Africa,Zimbabwe,379143,55705,Quinton de Kock,Hashim Amla,Tinashe Panyangara,n,2.4,1.0,1.0,0.0,282.0,60.0,1.0,-0.13,6.31,0.18,0.78,81.295,8.0,False,,,1,
