,inning,batting_team,bowling_team,batsman,bowler,batsman_name,non_striker,bowler_name,bat_right_handed,ovr,runs_batter,runs_w_extras,extras,x,y,z,landing_x,landing_y,ended_x,ended_y,ball_speed,cumul_runs,wicket,wicket_method,who_out,control,extras_type,comm
0,1,Afghanistan,England,308235,8608,Javed Ahmadi,Nawroz Mangal,James Anderson,y,0.1,1.0,1.0,0.0,70.0,69.0,7.0,-0.29,8.21,-0.33,1.14,81.209,1.0,False,,,1,,"short of a length, slight movement, Ahmadi opens the face, gets a single to third man"
1,1,Afghanistan,England,318334,8608,Nawroz Mangal,Javed Ahmadi,James Anderson,y,0.2,0.0,0.0,0.0,0.0,0.0,0.0,-0.58,8.28,-0.82,1.14,81.963,1.0,False,,,0,,"movement away again, but starts a touch short and a touch wide. Left alone"
2,1,Afghanistan,England,318334,8608,Nawroz Mangal,Javed Ahmadi,James Anderson,y,0.3,0.0,0.0,0.0,0.0,0.0,0.0,-0.50,7.94,-0.63,0.92,84.432,1.0,False,,,1,,"too short again, and left alone again"
3,1,Afghanistan,England,318334,8608,Nawroz Mangal,Javed Ahmadi,James Anderson,y,0.4,0.0,4.0,4.0,228.0,6.0,1.0,-0.37,6.73,0.10,1.05,82.531,5.0,False,,,0,Lb,and he goes for the big hooping inswinger that has Mangal surprised. It kisses the pad on the way and flies for four leg-byes
4,1,Afghanistan,England,318334,8608,Nawroz Mangal,Javed Ahmadi,James Anderson,y,0.5,0.0,0.0,0.0,0.0,0.0,0.0,-0.44,7.04,-0.55,0.90,85.337,5.0,False,,,1,,"fuller outswinger finally. A touch too wide, and left alone"
5,1,Afghanistan,England,318334,8608,Nawroz Mangal,Javed Ahmadi,James Anderson,y,0.6,1.0,1.0,0.0,80.0,55.0,8.0,-0.35,8.44,-0.29,1.13,81.903,6.0,False,,,1,,"outswinger from wide on the crease, he opens the face on it as it is too short again. Gets a single to third man"
6,1,Afghanistan,England,318334,10617,Nawroz Mangal,Javed Ahmadi,Stuart Broad,y,1.1,0.0,1.0,1.0,0.0,0.0,0.0,-0.86,4.50,-1.09,0.63,79.823,7.0,False,,,0,Wd,"he pitches up and draws a false shot right away. It is too wide, though, and Mangal can't reach it"
7,1,Afghanistan,England,318334,10617,Nawroz Mangal,Javed Ahmadi,Stuart Broad,y,1.1,0.0,0.0,0.0,160.0,125.0,8.0,-0.47,7.64,-0.30,1.12,81.125,7.0,False,,,0,,"<b>edged but doesn't carry</b>. Cross seam already, short of a length, holds its line, hits the shoulder of the defensive bat, but doesn't carry to first slip"
8,1,Afghanistan,England,318334,10617,Nawroz Mangal,Javed Ahmadi,Stuart Broad,y,1.2,0.0,0.0,0.0,0.0,0.0,0.0,-0.55,7.57,-0.49,1.03,81.247,7.0,False,,,1,,"moves across to cover the line outside off, and then leaves it alone"
9,1,Afghanistan,England,318334,10617,Nawroz Mangal,Javed Ahmadi,Stuart Broad,y,1.3,1.0,1.0,0.0,137.0,230.0,5.0,-0.49,5.00,-0.44,0.57,81.136,8.0,False,,,1,,"half-volley, off-driven, straight of mid-off, gets a single off the fumble"
10,1,Afghanistan,England,308235,10617,Javed Ahmadi,Nawroz Mangal,Stuart Broad,y,1.4,0.0,0.0,0.0,0.0,0.0,0.0,-0.51,6.49,-0.40,0.86,81.821,8.0,False,,,0,,"pitched up outside off, beats his drive. No swing on this"
11,1,Afghanistan,England,308235,10617,Javed Ahmadi,Nawroz Mangal,Stuart Broad,y,1.5,2.0,2.0,0.0,104.0,46.0,8.0,-0.44,5.14,-0.42,0.69,80.688,10.0,False,,,0,,"another edge as he throws his bat at a wide length ball, but the edge flies over third slip"
